,text,requesting_help,disaster
233,pets orphaned because of made their way to the hudson valley and hopefully new homes thanks to staff members from paws crossed animal rescue many of the animals will be available for adoption this sunday,1,hurricane
234,additionally we are collecting new and gently used clothing which is being donated to,1,hurricane
249,rt ifrc rt ifrc es the bahamasredcross is distributing basic relief items and household goods to help evacuees and host families cope with new realities thousands of people fled abaco and grand bahama after and are now living in g,1,hurricane
257,in extreme weather like its critical that unicef responds right away this is how we get lifesaving supplies where they need to go,1,hurricane
261,abaco the coopers town community clinic is partially operational days after struck we have been working with national local authorities in the repairs needed so that the population have access to health services,1,hurricane
262,the is distributing basic relief items and household goods to help evacuees and host families cope with new realities thousands of people fled abaco and grand bahama after and are now living in government run shelters or with family in nassau,1,hurricane
264,gary lickle is an airvan who has been actively participating in relief efforts he has been flying loads of supplies to the islands and evacuating refugees to various airports in we re proud to support his efforts to keep the good work going,1,hurricane
266,patrick is and his parents are haitian immigrants in he was a patient for sore throat now he is translating for a stranger mom is so proud,0,hurricane
271,big thanks to for the tour in great opportunity to see first hand how ships like her can play an important role responding to humanitarian disaster her sister ship is which has just responded to in the bahamas,1,hurricane
274,this week the nc congressional delegation sent a letter to president requesting that the administration swiftly approve governor cooper s request for an expedited major disaster declaration in the aftermath of,1,hurricane
277,children now in urgent need after tore through the two weeks ago,1,hurricane
283,the tvs at the gym are finally back up after just in time for college gameday it s like the people around me have never seen a grown man cry,0,hurricane
284,swept across the bahamas as a category hurricane last week and left a trail of destruction agwm relief is helping the national church with immediate relief funds which is the current need heres how you can help,1,hurricane
286,with currently replennishing in the us you can still keep up with the relief efforts with whose teams are operating off hnlms johan de witte via,1,hurricane
291,thanks for your support always count on the operation dorian donations today was the last day of our donation drive for we can t say it enough thank you for your support volunteers with,1,hurricane
293,team running supplies on okracoke island,1,hurricane
298,we pray for all those affected from the aftermath of hurricane dorian in the bahamas if you or anyone is looking to donate you can go to charity navigator and verify the best places to make any donations,1,hurricane
299,after major weather events occur people often think about our insurance policy and if they re covered but what is insurance and how does it really work,0,hurricane
300,when hit parts of the east coast a group of members came together to help out their fellow and anyone else who may be in need of assistance,1,hurricane
301,advanced disposal has created a gofundme account to help its team members with their long term recovery from the damage caused to their homes and lives by,1,hurricane
302,bahamians look for loved ones as  missing after dorian,0,hurricane
303,according to this un news article the is actually saying that  people are homeless in the bahamas in the aftermath of howd they arrive to this figure honestly i would genuinely like to know,0,hurricane
304,as survivors of enter week three of post storm life many in the bahamas worry they will be forced into deep poverty as they scramble to find work in the aftermath of the category storm,0,hurricane
319,if you are assessing damage this weekend remember that crisis cleanup offers free debris removal and cleanup services take pictures of any damage and call to request assistance,1,hurricane
321,if you are assessing damage this weekend remember that crisis cleanup offers free debris removal and cleanup services take pictures of any damage and call to request assistance,1,hurricane
328,thousands in bahamas struggle to find work after dorian,0,hurricane
330,restaurants farmers and fishermen whose business were affected by and may be eligible for grants from visit the link in our profile to learn more,1,hurricane
341,you can provide medical care shelter clean water and other essentials to hurricane dorian survivors by texting the keyword disaster to,1,hurricane
342,our deepest thanks to and for our flights out to the so the rg team can continue our response from the ground your support is hugely appreciated,1,hurricane
343,access to affected people in the remains challenging due to damaged roads and infrastructure we will be providing relief supplies to evacuees in nassau and new providence want to help our relief efforts donate here,1,hurricane
346,officials are planning to erect two tent city relief centers capable of housing around  people around hard hit marsh harbour on great abaco island,1,hurricane
353,this is so sad heartbreaking lets help figure out who this lady is and get her some help,1,hurricane
359,daytona united for bahamas efforts are in full swing locally to help victims in the impacted by local organizations,1,hurricane
365,thousands in bahamas struggle to find work after dorian,0,hurricane
368,government and to bring  children back to school unicef un  moreno gonzalez,0,hurricane
389,we got back from bahamas for a planned vacation and it became so much more we worked with to help with relief i worked triage with amazing nurses doctors and search and rescue teams please volunteer or donate if you can,1,hurricane
394,please if you or someone you know is missing and or trying to find someone else send your info and ill retweet to try and help signal boost,1,hurricane
398,halfway to the goal of  to help with the usf relief efforts for the hurricane ravaged every penny helps donate today  learn more,1,hurricane
399,sunset park is doing a hurricane relief fund for the bahamas we are doing a little friendly competition for the house that brings the most money let s help make a difference for those in need donation drive runs until september th,1,hurricane
404,leaders in the say that while donations are appreciated continuing travel to the bahamas is the best way to help heres why,1,hurricane
405,after dorian resolve marine group provides bahamas with a water purifying plant,1,hurricane
419,because if you we were able in our first shipment to deliver over k lbs of relief into the island of grand bahama to bring help and hope to those affected by,1,hurricane
421,hey all as people are still cleaning up from there are still many animals that need rescued and transported to other shelters if not for and their volunteers these animals wouldn t be able,1,hurricane
426,survivors have been found in a remote area not far from airport theyve been without communicate or food since the storm,0,hurricane
428,daytona beach fbo is offering discount fuel for anyone involved in relief flights in and out of the bahamas and waiving fees for those flights,1,hurricane
441,i guess is out of water i just want water for me forget the hurricane,1,hurricane
447,the city of will be distributing sand bags tomorrow fri aug from noon to p m or until supplies last at mills pond park nw ave limit bags per vehicle must show proof id you live in city,1,hurricane
459,some publix stores ran out of water very fast this morning all that s left are these cases of water for  seems that no one wants to pay the high price,0,hurricane
469,getting some sandbags to prepare our house for the hurricane this weekend hurricanes are just another part of florida living hope everyone stays safe this weekend,0,hurricane
471,with threatening a strike and a state of already declared in aerial footage shows a massive line of cars in waiting for sandbags packed by,0,hurricane
477,folks are preparing and stocking up for almost all retailers are out of water in southwest florida many gas stations are out of gas,0,hurricane
489,so i work at a supermarket from centered on the east coast and we have been incredibly busy all day due to the hurricane here are a couple pictures of the bread and water aisles,0,hurricane
490,why much of the work of preparing for a comes long before a community finds itself in one s crosshairs,0,hurricane
505,im hoping to fine some help i been living in a trailer full of mold from the flood in south louisiana i been looking for help but cant fine any had a heart attack and heart surger i need to fine a camper or a good used trailer please help if you can thank you,1,floods
512,hi bill i pray that i will be the recipient of this money my brother in law who is a disabled veteran with diabetes and my sister are in great need their home was damaged in the flood of in baton rouge louisiana and still has not been repaired,1,floods
514,im a disabled veteran that lost everything in the flood here in louisiana in wife is also disabled everything we owned was paid for we had to replace our home and our now we have to start all over again we need about  to pay,0,floods
516,my wife and i are both disabled and need help to pay off our mobile home and our car that we had to get after the flood of here in louisiana my gofundme account williemcdonald com,1,floods
519,these students have experienced extraordinary challenges after the flood we don t need to exacerbate that or make it worse by also taking resources away from our schools disaster recovery reform to give south louisiana schools millions in aid,1,floods
520,will pray for her gretchen as our area of louisiana was ground zero in the great flood of i can tell you they need manpower immediately to get in get house gutted to begin the dry out process sort through items take things to the road etc can any sweet vets help out,1,floods
526,new from et al the unexpected mid state louisiana flood with special focus on the different rescue and recovery responses it engendered tl dr we need more analyses of flood and rescue needs along with social vulnerability,1,floods
527,we need some state closures for this rain every now and again it s pretty hard to reach your destination if one rainfall floods the whole city,0,floods
528,do you mean the way you were kind years back to the people at louisiana that got hit with fatal floods and you had your building closed to those in need while you were safe and dry in your multi million dollar home that you purchased from everyone elses money,0,floods
530,whether you need louisiana homeowners insurance landlord insurance condo insurance renters insurance or flood insurance we can provide great rates,0,floods
532,happy th birthday to randy newman this song was written to commemorate a louisiana flood in but has poignancy for any time folks are abandoned by government in a time of need,0,floods
533,i d like to know what the delay is in signing the waiver for fund to be released to flood victims in louisiana we need this money to finish our homes many i know are depending on these funds sba loans are not the answer for many,1,floods
534,trump taking fema political with these statements as he threatens california to withhold funding after deadly wildfires and now deadly floods al does need assistance so does purto rico calif n s carolina louisiana,1,floods
535,im not trying to play games here but a lot of flood victims in louisiana are waiting on they need hud to issue duplication of benefits guidelines so they can rebuild their homes and get on with their lives,1,floods
541,if anyone who sees this is able to help please central louisiana recently experienced flooding and my rent is due and my car didn t have flood insurance i have two more days for rent and i only need k i made a twitter because i heard about you,1,floods
542,here can be seen advocating for government involvement in money and hopes to secure some tax payer dollars to be redistributed to those who need protections from historic natural floods good for him i suppose,1,floods
543,both texas and louisiana can improve flood control but where can the carolinas put all that water could you move it into georgia money better spent than a mexican wall we need better flood control,0,floods
544,gm the flood victims really need the basics ice water food generators the little towns are hurting the worst show the others up show them what you can do you took a semi to louisiana when obama golfed can you take semis in for other goods too,1,floods
581,day of ended w mayor singing s louisiana  so heres a map of the levee system planned in response to that flood we need a new holistic approach to transform water from threat to asset,0,floods
585,before we do that can you donate rt the link below to help get them to million before politics floods our screens today the churches in louisiana need donations to make their churches bigger safer,1,floods
586,some towns in fear they will never recover from the flood puerto rico has not recovered flint still doesnt have clean water historically black churches in louisiana need to be repaired or rebuilt,1,floods
604,duplication of benefits for louisiana flood of  still waiting on guidelines from hud passed into law in october  people are suffering we should not have to wait any longer release the guidelines so we can get the help we need,1,floods
605,duplication of benefits for louisiana flood of  still waiting on guidelines from hud and omb passed into law in october  people are suffering we should not have to wait any longer release the guidelines so we can get the help we need,1,floods
612,and have no vision for louisianas future heres our vision for  end dependency on oil and tourism money  get the healthcare and education we need for everyone build the best flood fighting infrastructure in the country,0,floods
617,big fish kill after tropical storm barry in louisiana myrtle grove marina louisiana we need help to build a flood gate please make this go viral thanks,1,floods
620,dogs of need a home boots of hope joni stafford  loop road prairieville la  bootsofhope com,1,floods
621,from hurricane barry igive us presidents executive order authorization for we need extend supports on moments for give hands assistance help save emergency our everyone us people living on this area of flood in louisiana with other state of us america,1,floods
632,t s barry will hit tonight in august  louisiana flood rescue august was born if reactivated we will be seeking resources from outside of la anyone who can assist in any way we may need your help i will keep you all posted thank you pray for louisiana,1,floods
633,yes this baby hurricane could be devastating the mississippi river our tributaries are swollen if barry slows his exit from louisiana we just may have a repeat of the great flood we need barry to get a move on get in get out prayers would be great,0,floods
636,mr president u r a builder we need louisiana protected from huge storms like this and the flooding that happens please come up with a concrete plan to design a barrier that can keep the floods away our people in this state need relief from disasters like this in the gulf,1,floods
640,need prayers for all national guard units that have to work the flood in louisiana we have lives to but here to protect serve including myself have to leave out,0,floods
641,omg not again the people of louisiana need to vote out the people that are running your state they dont care about yall here we go again with another flood they need to bring in some engineers to build a better levie,0,floods
642,louisiana declares state of emergency we all need to take this very v  via warning for areas prayers needed now for people struggling in flood waters,0,floods
645,senator we in louisiana need protection on the level of what the netherlands does in the form of flood protection,0,floods
649,louisiana is going to cease to exist if something isnt done about climate change they are right at the ocean and the sea levels have gone up meaning that louisiana will flood worse than hurricane katrina protections need to be put in place you dont just say its nothing,0,floods
651,i m gone for a month and south louisiana up and floods we need to work on the drains and our levees,0,floods
652,we need to build some with apartments for the people in  because of the year will happen before july,1,floods
663,farmers need your support now more than ever president trump i m sure you are aware all crops were destroyed by floods this season especially in nebraska frames are hurtin,1,floods
666,one more day to send items of need to families in and who have been impacted by floods this year,1,floods
667,join me in helping our neighbors in and get items they need after floods,1,floods
674,private levees are a key part of nebraska flood prevention officials need to include them in the states overall flood protection strategy our editorial says,0,floods
679,pine ridge indian reservation in nebraska n south dakota the lakota nation got hit hard by the floods fema says only out aprx k people that s there they can t get to them no transportation or no electricity no potable water very little supply s coming in they need ourhelp,1,floods
685,crowd shot from tonight loved this audience please give what you can to help out nebraska flood victims don t know a website but please google it these people need and deserve assistance as they pick up,1,floods
688,nebraska flood update rain most days this week we are back into flood warnings communities that were coming out of the water are back under more rain to come this weekend need prayers and continued support,1,floods
690,alumni dennis leonard and mark teahen visited and met with service members today at offutt air force base in bellevue nebraska the base will need at least million to repair or replace structural damage sustained during the march floods,1,floods
695,is this not enough to motivate you to fight for nebraska flood victims what do you need when are you going to grow a pair of stop being the boot licking trump sycophant and get the funding we need you have failed nebraska,1,floods
696,treatment plants overwhelmed by floods in nebraska and iowa  stark reminder of need for urban planning as major sanitation challenges to deal in the aftermath already  million in damage for single plant,0,floods
697,i in iowa was closed again today many of the places that were devastated in the march flood are starting to flood again the majors roads just opened and now they are underwater again we need sun desperately south of omaha in nebraska,0,floods
698,sodak and nebraska need flood damage relief we have and continue to receive record rains following a very bad winter our roads are falling apart our farmers can t get crops in and yet no one is saying a word do not forget us please,1,floods
702,join and in helping flood victims in nebraska and iowa shop essential items and they will be shipped to to help those in need,1,floods
703,weve partnered with to help flood victims in nebraska iowa donate bulk food and supplies to help those in need donate now,1,floods
706,my friends and family are in need of prayer for finances to pay off our houses so we can be debt free the floods here did a lot of damage to many homes in nebraska mortgages are to much for some to bear with no home to return to we thank you and god bless you for your prayers,1,floods
708,i am from florida and the panhandle needs this money but please do not forget the farmers and ranchers struck by the floods and surrounding states they need money too,1,floods
711,all the states hit need money for infrastructure nebraska has been hit with devastating ice floods and now tornados but the farmers dont sit around and wait for help they do they take care of the mess and rebuild puerto rico needs that,1,floods
713,my state of nebraska doesnt need relief because of any trade deal we need relief because of the historic floods,1,floods
714,deadline extended to july the usda nrcs has assistance available to help landowners in nebraska who suffered heavy livestock losses due to the floods and blizzards and need help disposing of animal carcasses,1,floods
716,are there any large flood affected equine facilities in eastern or northern nebraska that is in dire need of good quality grass hay small square bales right now please share or contact me asap can deliver tonight thank you,1,floods
718,as flood relief continues throughout nebraska farmers and ranchers continue to have an emergency need for hay and other supplies extension service leaders in kentucky have collected bales of hay and a semi,1,floods
727,why did you walk out of the infrastructure meeting you know as well as i do that we need sound infrastructure please dont forget about the farmers in nebraska that had flood damage thank you,0,floods
729,when are you going to pass funding for hurricane and floods florida georgia nebraska iowa we need the money,1,floods
739,wellcare of nebraska was honored to help sort and package supplies with to help flood victims in need of cleaning supplies personal care items pet food and other necessities our teams frequently hold a day of service to volunteer with local non profits,1,floods
741,thread flood affected communities in fremont nebraska remain in need of underserved supplies and costly resources residents have endured unexpected costs for repairs including extremely high electric bills due to severe infrastructure damage,1,floods
743,the catholic church worldwide is worth hundreds of billions of dollars they can rebuild the notre dame theyll be fine if you want to make a donation please give to a food bank or local charity there are still people here in nebraska in need of help with flood recovery,1,floods
744,rt lionsclubs lions in nebraska continue to serve flood victims by hosting people from the area who lost homes and all possessions taking families shopping for essentials and delivering supplies to those in need,1,floods
745,lions in nebraska continue to serve flood victims by hosting people from the area who lost homes and all possessions taking families shopping for essentials and delivering supplies to those in need,1,floods
753,we are so glad that ohio loves nebraska thank you ohio for your undying support during the flood with supplies for our residents in need for more information on flood relief go to,1,floods
754,i had lunch with my meetup partner for april and she told me that they are looking for nebraska lawyers to do pro bono work to help nebraska flood victims what a great way to help the effort so many people are still in need,1,floods
755,anyone who is a flood survivor coming to to sign up for plz know if you are in need of food it will be available at the eagles where fema marc will be located,1,floods
758,beto is an absolute moron s of midwestern farmers just tithed hay to nebraska farmers impacted by flood waters so they could feed their livestock that s what we need people being kind and helping others in need,1,floods
761,what do u live on another pkanet it s time someone cared about the good old us of a we help all the time where is aid when we need it nebraska floods got one,1,floods
769,nebraska is about the size of germany now picture adding iowa missouri into the flooding disaster this is why our midwest states need the government flood relief bill passed immediately please tell the senate democrats to stop blocking the midwest flood relief bill,0,floods
770,a kansas woman donated pairs of shoes to nebraska flood victims after buying everything that was left at a closing payless store random acts of kindness make this world a better place much respect to this woman we need more of this,1,floods
775,to all churches in the area ariad to all ministries omaha nebraska in the flood areas need our help they need food water clothing blankets for the flood victims i hear everybody talking about how they should help,1,floods
780,folks in nebraska are in desperate need of disaster relief as first responders and flood victims grow weary nebraska iowa and wisconsin declare emergencies amid historic flooding from bomb cylone,1,floods
781,there is a real national emergency in nebraska flooded towns bridges washed out highways closed hundreds of people displaced a lease two sweep away by flood water and a devastating dam collapse people need help,1,floods
783,this is i in looking towards from the i overpass this stretch of highway was rebuilt after the floods it is likely being eaten away again and will need rebuilding thanks to for the camera,1,floods
784,the flooding in nebraska and iowa has caused major damage and emotional strain many people will not have homes to come back to and many towns are islands it has been the worst flood in years please send prayers to the families that have been effected theyll need it,0,floods
785,record floods hit nebraska after bomb cyclone killing and leaving others in need of rescue,1,floods
786,i know your plate is full already but is hurting devastating floods is causing havoc on americans crops and animals they need coverage  they need help,1,floods
788,it would be very appreciated if you could notice that nebraska is in a flood and tons of people have gone homeless and have lost everything we need more supplies and food in our shelters and we need this to be brought to someone s attention please help our state,1,floods
790,please president trump help all of us in nebraska we are devastated from the flood waters washing away our homes and businesses bridges streets livestock supermarkets are gone lives have been lost we need help,1,floods
795,a note to my fellow journalists as points out the floods in iowa and nebraska are not the getting national attention they need every animal but a single cow was drowned on my cousins farm near belleve nebraska,1,floods
797,talk to me we need all types of donations and volunteers nebraska flood relief wellness advocates,1,floods
798,love you guys but disappointed why there is no coverage of the nebraska flood devastation on any network they need help and emergency disaster funding i hope you will get the ball rolling,1,floods
799,come to nebraska we need someone to do a story on the floods its horrible and no one is covering it people in nebraska and iowa are losing everything animals are being left behind help the heartland,1,floods
800,we need someone to come to nebraska and tell the real story about the floods its really bad many people are losing everything i dont think the media realizes how bad it really is please come do a story,1,floods
801,this is where homeless flood victims are now living in parts of nebraska iowa they need clothes bedding food tp paper towels gloves water cleaning supplies to clean up communitys after the flood ends please help thx,1,floods
805,i would much rather hear about the deaths and destruction our own americans are suffering through with the massive floods in nebraska the people who lost homes animals and family that need prayers and help,1,floods
811,this tl has some pretty vivid pics of the again we need infrastructure more than wars and unsustainable military expenditures,0,floods
812,please come do a story in nebraska and iowa about the floods people are losing everything and no one is taking about it the second story line on the national news isnt showing everything come we need you,1,floods
814,communities across nebraska work to get flood relief to those in need,1,floods
817,there is a semi truck a trailer waiting outside of waiting to be filled with supplies for the flood victims if you can i urge everyone to donate something anything to help our neighbors in need no donation is too small,1,floods
820,yes it s terrible what the people in nebraska are experiencing another year flood only years after the last one and they re still suffering the effects of the tariff issues they need someone fighting for them,1,floods
823,me president our need to fly to nebraska as we are having the worst floods ever we will need aid to help those people also you can see who needs flood insurance,1,floods
825,shelter update am if you are in need of shelter please go to fremont nazareen church at johnson road fremont ne,1,floods
826,as i am from nebraska of course we have not received no national media attention we have been thru a national disaster a few days ago and still going on from floods to snowstorms our towns are flooded highways and bridges in need of repair,1,floods
828,where is the media coverage why is there no national attention no national call for help please our two states need more than prayers,1,floods
842,shelter update if you are in need of shelter please go to salem lutheran church at e military avenue fremont ne donations are being accepted at trinity lutheran  n luther road fremont ne,1,floods
843,please send help to the flood victims in nebraska we need help now,1,floods
845,the people of the state of nebraska need help if the platte and missouri rivers flood along with all of the nebraska rivers that have and will continue to dump into them we will see suffering for even more people,1,floods
846,i am pretty sure you might not get this being you get a lot of messages but can you please spread the word most of nebraska is going thru a flood right now towns are under water we had a dam break theses small towns need prayers thank you,1,floods
847,for any nebraska evacuees displaced by floods airbnb is providing some free housing for anyone in need,1,floods
848,the lack of news coverage on nebraska is really disappointing whole towns are devastated people are missing a few were swept away in the floods nearly the entire state is a disaster zone when hurricane harvey hit nebraska immediately sent aide we need help too,1,floods
849,heading back home to nebraska after a few days on the road last night in a hotel room reading tweets seeing videos of the floods heartbroken for so many please let me know how i can help when i get home tomorrow if you need a place to stay i have room at my place,1,floods
851,hello please please see the natural disaster happening in nebraska right now please we need help too we are agricultural state livestock are dying in floods and in blizzard conditions,1,floods
852,there are many people who need help in nebraska here s a thread with different websites and organizations that show you how to help out those affected by floods in your area every little bit helps,1,floods
853,to those who don t know we also had a blizzard in nebraska in less than hours we had blizzard warnings high wind warnings severe lightning warnings and flood warnings forget about who is saying it and pay attention to the content nebraskans are in need of help,1,floods
854,you can declare tornado flood areas a natural disaster but what about us in nebraska wheres our help when we need,1,floods
858,i m stuck in nebraska trying to get to missouri i seen you helped someone with there rent so here goes a long shot i need to pay the balance on my uhual cause i used it for extra days and they don t care i was stuck in the floods god bless you,1,floods
860,our neighbors in ne ia need our help as flooding devastates communities  of every donation to the nebraska iowa flood relief fund will be directed to nonprofit programs meeting people s needs for emergency shelter food and more please help spread the word,1,floods
861,national media please show the rest of the devastation in that entire state is going to need the help and support of the rest of the country flash flood emergency forces evacuations in areas west of omaha,1,floods
862,mr president we are in dire need of help in nebraska i have lost everything in a flood we do not know what to do thank you,1,floods
863,these floods and natural disasters in nebraska need federal assistance many of the communities and farmers do not have flood insurance,1,floods
867,nebraska is under a state of an emergency over  people have been evacuated by flood waters your media outlet gets the word out for help and aid from other states we need help yet there has been no news of us,1,floods
868,nebraska needs your help we need people to spread the word about an increasing number of floods and blizzards many place are being evacuated spread the word please,1,floods
869,please send help nebraska is being bombarded with blizzards and floods we need people to spread the word you are my hero and we need your help,1,floods
870,how about some news coverage over nebraska s huge blizzard floods all over the eastern side of the state historic flooding for the state we need help,1,floods
871,i am just finding out about the devasting floods and weather induced emergencies in please send your prayers and healing energies to them in their time of need,1,floods
873,heavenly father i pray for the person in nebraska and all the other states around us president donald trump we need your help to overcome this flood tragedy and loss of life and land and homes thank you for caring for our people in our great nation amen,1,floods
877,missouri gov mike parson and kim reynolds discuss need for regional approach and possible federal changes to prevent recurring floods on missouri river,0,floods
881,the company i work for helping out those cattle producers in nebraska who need feed after the flood,1,floods
887,just saw on tv south dakota sending tons of hay to flood drenched nebraska farmers need it to feed the cattle this is usa,1,floods
888,this is awful i just read where the democrats did not approve aid to flood victims in nebraska these are our fellow americans they need to do this now relief is needed now,1,floods
889,puerto rico doesnt need anymore money they waste what we send them and they are too lazy to get off their butts and rebuild their own island the farmers need relief especially in nebraska where the floods are,1,floods
892,our nebraska neighbors need help recovering from the flood disaster you can help by donating the following items mops buckets work gloves rakes shovels bleach household cleaning items clothing household,1,floods
894,don t you think it s time cut off any funding for illegals and deal with the flood impact in the heartland help americans first fema will need all the money it can get,1,floods
895,nebraska flood victims need help want to just wait till your burger costs x more before you notice their plight they are our neighbors find ashes to ashes on facebook media has been absent sad,1,floods
899,its sunday and a lot of the social workers in nebraska are at sites that are providing shelter for the flood victims some places and homes are still under water i think were all hoping that anyone in need will show up unafraid to ask for help stay,1,floods
902,the folks in nebraska dont deserve this they need help big time their well water is floods contaminated from pesticides we are talking its bad million baby calves are dead,1,floods
904,the road to recovery will be a long one for many victims in please pray that god will send the resources and strength they need to rebuild,1,floods
908,please more coverage of the horrible flood disaster in nebraska these people need help,1,floods
910,hay hay hay those folks in nebraska really need these supplies to help with floods way to go truckers,1,floods
911,the real national emergency is in nebraska and iowa from the floods they have asked for federal relief of billion put the money you are taking from the military and other programs and send it to the people in nebraska and iowa that truly need it,1,floods
912,the atlantic kiwanis group will be bagging bags of food for flood victims affected in iowa and nebraska they need help this friday march starting at pm at first church of christ in atlantic ia there,1,floods
916,flood relief assistance application central nebraska community action partnership cncap assistance is available for both housing and certain agricultural losses custer county residents seeking assistance will need,1,floods
920,during the yezidi community campaign to provide food water and other needs to families affected by floods disaster in nebraska we are all america one group and we need to support each other god bless america,1,floods
921,have you heard about the devastating floods in nebraska it would be great if you could donate books to the over children that lost their homes and lives from my moms school these little kids need something to have to smile,1,floods
927,nebraska floods cities counties declare a state of emergency this is why we need the green new deal green new deal with preserve safe not destroy dont listen to cruzs lies about it,0,floods
928,nebraska floods cities counties declare a state of emergency this is why we need the green new deal,0,floods
931,nebraska infrastructure in need of repair following floods,1,floods
935,we are in need of a lot more donations for those who have suffered from loss in our smaller communities not only has the eastern part of our state been hit by the floods but a great part of northern nebraska,1,floods
941,the yazidi community in lincoln nebraska has delivered humanitarian aids to flood victims in nebraska specifically to the city of fremont who were in desperate need of this assistance and most affected by floods the yazidi voluntary team transported four trailers loaded,1,floods
